1984 United States Congressional Voting Records Database
  https://paperswithcode.com/dataset/cvr
Source:  Congressional Quarterly Almanac, 98th Congress, 2nd session 1984, 
  Volume XL: Congressional Quarterly Inc., Washington, D.C., 1985.
by Jeff Schlimmer (Jeffrey.Schlimmer@a.gp.cs.cmu.edu), 27 April 1987 
Publications:
1. Schlimmer, J. C. (1987).  Concept acquisition through representational 
  adjustment. Doctoral dissertation, Department of Information and Computer 
  Science, University of California, Irvine, CA.
Info: This data set includes votes for each of the U.S. House of Representatives
  Congressmen on the 16 key votes identified by the CQA. The CQA lists nine 
  different types of votes: voted for, paired for, and announced for (these three 
  simplified to "p"), voted against, paired against, and announced against (these 
  three simplified to "n"), voted present, voted present to avoid conflict of 
  interest, and did not vote or otherwise make a position known (these three 
  simplified to "z").
Number of Rows: 435 (267 democrats, 168 republicans)
Number of Cols: name (r - republican, d - democrat) + 16 cases
Converted by: Vladimir Batagelj, July 1, 2022 
------------------------
"","handicapped.infants","water.project.cost.sharing","adoption.of.the.budget.resolution","physician.fee.freeze","el.salvador.aid","religious.groups.in.schools","anti.satellite.test.ban","aid.to.nicaraguan.contras","mx.missile","immigration","synfuels.corporation.cutback","education.spending","superfund.right.to.sue","crime","duty.free.exports","export.administration.act.south.africa"
"r344","n","n","n","p","p","n","p","n","p","p","n","n","n","p","n","p"
"d345","n","n","p","n","n","n","p","p","p","p","p","n","n","n","p","p"
"r346","n","n","n","p","p","p","p","n","n","p","n","p","n","p","p","p"
"r347","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r348","p","n","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d349","p","n","p","n","n","n","p","p","p","p","n","p","n","n","p","z"
"r350","n","p","p","p","p","p","p","p","p","n","n","p","p","p","n","p"
"d351","n","p","n","n","n","p","p","n","p","n","p","n","n","n","p","p"
"r352","n","n","p","p","p","p","p","p","p","p","n","p","p","p","p","p"
"d353","n","p","n","p","n","p","p","p","p","n","p","n","p","n","p","z"
"r354","n","n","p","p","p","p","p","n","n","p","p","p","p","p","n","p"
"d355","n","p","p","n","n","p","p","p","p","p","n","z","n","n","p","p"
"r356","p","n","p","p","n","n","n","p","p","p","n","n","n","p","p","p"
"r357","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"r358","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"d359","p","p","p","n","n","p","p","p","p","p","p","p","p","p","n","z"
"r360","n","n","n","p","p","p","n","n","n","p","z","p","p","p","n","p"
"d361","p","n","p","n","n","p","p","p","p","p","n","n","p","n","n","p"
"d362","p","n","p","n","p","p","p","n","p","p","n","n","p","p","n","z"
"d363","p","p","p","n","n","p","p","p","p","p","p","p","p","n","n","p"
"r364","p","p","n","p","p","p","n","n","n","p","p","n","p","n","n","n"
"r365","p","p","n","p","p","p","n","n","n","n","p","n","p","p","n","p"
"d366","n","p","n","n","p","p","n","n","n","p","p","n","p","p","n","n"
"d367","p","n","p","n","n","n","p","p","n","p","p","n","n","n","n","z"
"d368","p","p","p","n","p","p","p","p","n","p","p","n","n","n","p","z"
"d369","n","p","p","n","n","p","p","p","n","p","n","n","n","n","p","p"
"r370","n","p","n","p","p","p","n","n","n","n","n","n","p","p","n","p"
"d371","p","p","p","n","z","p","p","p","n","p","z","z","n","n","p","p"
"d372","p","p","p","n","z","n","p","p","p","p","n","n","n","n","p","z"
"d373","n","p","p","p","p","p","n","n","n","n","p","p","z","p","n","n"
"d374","n","p","p","z","p","p","n","p","n","p","z","n","p","p","z","p"
"r375","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d376","n","p","n","p","p","p","n","n","n","n","p","p","n","p","n","n"
"d377","p","z","p","n","n","n","p","p","p","n","p","n","n","n","p","p"
"r378","n","p","n","p","p","p","z","z","n","n","z","z","p","z","z","z"
"r379","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"r380","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d381","p","p","p","n","n","p","z","p","p","n","p","n","p","n","p","p"
"d382","p","p","p","n","p","p","p","p","p","p","p","n","p","p","n","z"
"d383","p","p","n","p","p","p","n","n","n","n","p","n","p","p","n","z"
"d384","p","p","p","n","p","p","n","p","p","p","p","n","n","n","n","p"
"d385","p","p","p","p","p","p","n","n","n","n","p","p","p","p","n","p"
"d386","p","p","n","n","p","p","n","n","n","n","p","p","p","p","p","n"
"d387","n","z","p","n","p","p","n","p","n","n","p","n","n","n","n","z"
"d388","p","p","p","n","p","p","n","p","p","n","p","n","n","p","n","z"
"d389","n","p","p","p","p","p","n","n","n","n","n","p","p","p","n","z"
"d390","p","n","p","n","n","n","p","p","p","z","p","n","n","n","p","z"
"d391","z","z","n","n","z","p","z","n","n","n","p","p","n","p","n","z"
"d392","p","p","n","n","n","n","n","p","p","n","p","n","n","n","p","n"
"r393","p","p","n","p","p","p","n","n","n","n","p","p","p","p","n","p"
"r394","z","z","z","z","n","p","n","p","p","n","n","p","p","n","n","z"
"d395","p","p","z","z","z","p","n","n","n","n","p","n","p","n","n","p"
"d396","p","p","p","z","n","n","n","p","n","n","p","z","n","n","p","p"
"d397","p","p","p","n","p","p","n","p","n","n","p","n","p","n","p","p"
"d398","p","p","n","n","p","z","n","n","n","n","p","n","p","p","n","p"
"d399","n","p","p","n","p","p","n","p","n","n","n","n","n","n","n","p"
"r400","n","p","n","p","z","p","n","n","n","p","n","p","p","p","n","n"
"r401","n","p","n","p","p","p","n","z","n","n","z","z","z","p","n","z"
"r402","n","p","n","p","p","p","n","n","n","p","p","p","p","p","n","n"
"r403","z","n","p","p","n","p","p","p","p","p","n","p","n","p","n","p"
"r404","n","p","n","p","p","p","n","n","n","p","n","p","z","p","n","n"
"r405","p","p","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r406","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d407","p","n","p","n","p","p","n","n","p","p","n","n","p","p","n","p"
"d408","n","n","n","p","p","p","n","n","n","n","p","p","p","p","n","n"
"d409","p","n","p","n","n","p","p","p","p","n","n","p","z","p","p","p"
"r410","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"r411","n","n","n","p","p","p","n","n","n","n","p","p","p","p","n","p"
"d412","p","n","p","n","n","p","p","p","p","p","p","n","n","n","n","p"
"r413","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r414","p","p","p","p","p","p","p","p","n","p","z","z","z","p","n","p"
"d415","p","p","p","n","n","n","p","p","p","n","n","n","n","n","n","p"
"d416","n","p","p","n","n","p","p","p","z","p","n","n","n","n","n","p"
"r417","p","p","n","p","p","p","n","n","n","p","n","n","p","p","n","p"
"d418","p","p","p","n","n","n","p","p","p","p","p","n","p","n","n","p"
"d419","p","p","p","n","n","n","p","p","n","p","n","n","n","n","n","p"
"d420","p","p","p","n","n","n","p","p","p","n","n","n","n","n","n","p"
"r421","p","p","p","p","p","p","p","p","n","p","n","n","p","p","n","p"
"d422","n","p","p","n","p","p","p","p","n","n","p","n","p","n","p","p"
"d423","n","n","p","n","n","p","p","p","p","n","p","n","n","n","p","p"
"d424","n","p","p","n","n","p","p","p","p","n","p","n","n","p","p","p"
"d425","n","p","p","n","n","z","p","p","p","p","p","n","z","p","p","p"
"d426","n","n","p","n","n","n","p","p","n","p","p","n","n","n","p","z"
"d427","p","n","p","n","n","n","p","p","p","p","n","n","n","n","p","p"
"r428","n","n","n","p","p","p","p","p","n","p","n","p","p","p","n","p"
"d429","z","z","z","n","n","n","p","p","p","p","n","n","p","n","p","p"
"d430","p","n","p","n","z","n","p","p","p","p","n","p","n","z","p","p"
"r431","n","n","p","p","p","p","n","n","p","p","n","p","p","p","n","p"
"d432","n","n","p","n","n","n","p","p","p","p","n","n","n","n","n","p"
"r433","n","z","n","p","p","p","n","n","n","n","p","p","p","p","n","p"
"r434","n","n","n","p","p","p","z","z","z","z","n","p","p","p","n","p"
"r435","n","p","n","p","p","p","n","n","n","p","n","p","p","p","z","n"
